granule_uid,obs_id,detection_type,mass,period,star_spec_type,semi_major_axis,radius
14 Her b,77,Radial Velocity,9.1,1763.3,K0 V,2.845,
14 Her c,309,Radial Velocity,6.9,52596.0,K0 V,27.4,
55 Cnc b,25,Radial Velocity,0.84,14.65314,K0IV-V,0.11339,
51 Eri b,2428,Imaging,2.6,10260.0,F0IV,11.1,1.11
51 Peg b,12,Radial Velocity,0.47,4.2308,G2 IV,0.052,1.9
55 Cnc e,243,Primary Transit,0.02703,0.7365478,K0IV-V,0.015439,0.1737
AU Mic b,7424,Primary Transit,0.0368,8.463,M1V,0.0645,0.3908
AU Mic c,7546,Primary Transit,0.0698,18.859019,M1V,0.1101,0.3131
BD+20 594 b,2546,Primary Transit,0.07,41.6855,G,0.241,0.23
CD Cet b,7415,Radial Velocity,0.01244,2.2907,M5.0,0.0185,
CI Tau b,3941,Radial Velocity,11.6,8.9891,K4IV,,
CoRoT-1 b,401,Primary Transit,1.03,1.50896848,G0V,0.0254,1.49
CoRoT-10 b,662,Primary Transit,2.75,13.2406,K1V,0.1055,0.97
CoRoT-11 b,645,Primary Transit,2.33,2.994325,F6V,0.04351,1.43
CoRoT-12 b,649,Primary Transit,0.917,2.8280517,G2V,0.04016,1.44
CoRoT-13 b,651,Primary Transit,1.308,4.0350906,G0V,0.051,0.885
CoRoT-14 b,652,Primary Transit,7.6,1.51214,F9V,0.027,1.09
CoRoT-16 b,702,Primary Transit,0.535,5.35227,G5V,0.0618,1.17
CoRoT-17 b,703,Primary Transit,2.43,3.768125,G2V,0.0461,1.02
CoRoT-18 b,704,Primary Transit,3.47,1.90009057,G9V,0.0295,1.31
CoRoT-19 b,705,Primary Transit,1.11,3.8971372,F9V,0.0518,1.29
CoRoT-2 b,415,Primary Transit,3.31,1.7429964,G7V,0.0281,1.465
CoRoT-20 b,826,Primary Transit,4.24,9.2431839,G2V,0.0902,0.84
CoRoT-22 b,847,Primary Transit,0.06,9.75598,G0IV,0.092,0.4354
CoRoT-23 b,862,Primary Transit,2.8,3.6314,G0V,0.0477,1.08
CoRoT-24 b,855,Primary Transit,0.018,5.1134,K1V,0.056,0.33
CoRoT-24 c,856,Primary Transit,0.088,11.759,K1V,0.098,0.44
CoRoT-25 b,1240,Primary Transit,0.27,4.86069,G0V,0.0578,1.08
CoRoT-26 b,1243,Primary Transit,0.52,4.20474,G8IV,0.0526,1.26
CoRoT-29 b,1210,Primary Transit,0.85,2.85057,KOV,0.039,0.9
CoRoT-30 b,1211,Primary Transit,2.9,9.06005,G3V,0.0844,1.009
CoRoT-31 b,1212,Primary Transit,0.84,4.62941,G2IV,0.0586,1.46
CoRoT-35 b,2644,Primary Transit,1.1,3.22748,F3V,0.0429,1.68
CoRoT-36 b,3931,Primary Transit,0.68,5.616531,,0.066,1.41
CoRoT-5 b,471,Primary Transit,0.467,4.0379148,F9V,0.04947,1.33
CoRoT-7 b,526,Primary Transit,0.041812,0.8535,K0V,0.0172,0.136
CoRoT-8 b,544,Primary Transit,0.2158,6.21229,K1V,0.063,0.5692
CoRoT-9 b,557,Primary Transit,0.84,95.273804,G3V,0.407,0.94
DS Tuc A b,7077,Primary Transit,0.0453,8.138268,G6V,0.0795,0.5085
EPIC 201295312 b,2557,Primary Transit,0.0379,5.65639,,,0.245
EPIC 205084841 b,6997,Primary Transit,0.3883,11.310099,,0.104,1.561
EPIC 211442297 b,6618,Primary Transit,0.84,20.273034,G4,0.1367,1.115
EPIC 211945201 b,6742,Primary Transit,0.085,19.49221,G0,0.1493,0.514
EPIC 212737443 b,7137,Primary Transit,0.02907,13.603,K3,0.098,0.231
EPIC 212737443 c,7138,Primary Transit,0.0303,65.55,K3,0.28,0.24
EPIC 246193072 b,7527,Primary Transit,0.26,12.4551225,,0.1016,0.774
EPIC 246851721 b,6791,Primary Transit,3.0,6.180235,F5V,0.07229,1.051
Exomoon Kepler-1708 b-i,8059,Primary Transit,0.116,4.6,,0.05,0.2329
Fomalhaut b,291,Imaging,0.208,320000.0,A3 V,117.0,
G 9-40 b,7229,Primary Transit,0.013,5.7459982,M2.5 V,0.0418,0.17
GJ 1132 b,2464,Primary Transit,0.00522,1.628931,M3.5,0.0154,0.1035
GJ 1214 b,619,Primary Transit,0.02571,1.580404497,M,0.01411,0.24463
GJ 1252 b,7246,Primary Transit,0.00415,0.5182349,,0.00916,0.1053
GJ 143 b,6930,Primary Transit,0.0714,35.61253,K4.5V,0.1932,0.2329
GJ 143 c,6975,Primary Transit,0.01164,7.78993,K4.5V,0.0695,0.07958
GJ 2030 c,8380,Astrometry,12.934,25635.0,G5/6V,16.752,
GJ 273 b,6548,Radial Velocity,0.00922,18.64,M3.5,0.091,
GJ 273 c,6549,Radial Velocity,0.00374,4.72322,M3.5,0.036,
GJ 273 d,7135,Radial Velocity,0.03448,413.9,M3.5,0.712,
GJ 273 e,7136,Radial Velocity,0.0297,542.0,M3.5,0.849,
GJ 3090 b,8338,Primary Transit,0.01051,2.8531054,,0.03165,0.19
GJ 3470 b,1140,Primary Transit,0.03958,3.336649,M1.5,0.03557,0.37380742940036
GJ 3473 b,7501,Primary Transit,0.00585,1.1980035,M4V,0.01589,0.11277
GJ 357 b,7109,Primary Transit,0.006566,3.93086,M2.5 V,0.033,0.10411
GJ 3634 b,816,Radial Velocity,0.026,2.64561,M2.5,0.0287,
GJ 367  b,8105,Primary Transit,0.00047,0.3219659,M1,0.0069,0.0526
GJ 3929 b,8113,Primary Transit,0.00381,2.6162745,M3.5V,0.02569,0.1026
GJ 436 b,241,Primary Transit,0.07,2.64394,M2.5,0.02887,0.38
GJ 486 b,7818,Primary Transit,0.00887,1.467119,M3.5V,0.01734,0.11643
GJ 676 A b,603,Radial Velocity,6.7,1052.1,M0V,1.812,
GJ 676 A c,1285,Radial Velocity,6.8,7337.0,M0V,6.6,
GJ 876 b,31,Radial Velocity,3.6,61.03474,M4 V,0.214,
GJ 876 d,289,Radial Velocity,0.021741,1.938,M4 V,0.021,
GJ 876 e,693,Radial Velocity,0.04855,124.4,M4 V,0.345,
GJ 9827 b,6623,Primary Transit,0.01532,1.2089765,K6V,0.01866,0.13641
GJ 9827 c,6624,Primary Transit,0.00604,3.648086,K6V,0.03896,0.107
GJ 9827 d,6625,Primary Transit,0.01076,6.20183,K6V,0.0555,0.17441
Gaia-1 b,8214,Primary Transit,1.68,3.042524,,0.04047,1.229
Gaia-2 b,8215,Primary Transit,0.773,3.6915237,,0.0467,1.327
HAT-P-1 b,345,Primary Transit,0.525,4.46529976,GOV,0.05561,1.319
HAT-P-10 A b,506,Primary Transit,0.46,3.722469,K3V,0.0439,1.045
HAT-P-11 b,532,Primary Transit,0.0736,4.887802443,K4,0.053,0.389
HAT-P-11 c,6864,Radial Velocity,2.3,3397.0,K4,4.13,
HAT-P-12 b,549,Primary Transit,0.210489884529,3.2130598,,0.0384,0.949
HAT-P-13 b,558,Primary Transit,0.85,2.916243,G4,0.0426,1.28
HAT-P-14 b,650,Primary Transit,2.444,4.627686,F,0.0606,1.01
HAT-P-15 b,680,Primary Transit,1.946,10.863502,G5,0.0964,1.072
HAT-P-16 b,676,Primary Transit,4.193,2.77596,F8,0.0413,1.289
HAT-P-17 b,738,Primary Transit,0.534,10.338523,K,0.0882,1.01
HAT-P-18 b,723,Primary Transit,0.183,5.508029,K,0.0559,0.947
HAT-P-19 b,724,Primary Transit,0.292,4.008784,K,0.0466,1.132
HAT-P-2 b,402,Primary Transit,8.74,5.6334729,F8,0.0674,0.951
HAT-P-20 b,734,Primary Transit,7.246,2.875317,K7,0.0361,0.867
HAT-P-21 b,735,Primary Transit,4.063,4.124461,G3,0.0494,1.024
HAT-P-22 b,736,Primary Transit,2.147,3.21222,G5,0.0414,1.08
HAT-P-23 b,737,Primary Transit,2.09,1.212884,G5,0.0232,1.368
HAT-P-24 b,733,Primary Transit,0.685,3.35524,F8,0.0465,1.242
HAT-P-25 b,740,Primary Transit,0.567,3.652836,G5,0.0466,1.19
HAT-P-26 b,748,Primary Transit,0.0585,4.234516,K1,0.0479,0.5647
HAT-P-27 b,806,Primary Transit,0.66,3.0395803,G8,0.0403,1.055
HAT-P-28 b,834,Primary Transit,0.626,3.257215,G3,0.0434,1.212
HAT-P-29 b,835,Primary Transit,0.778,5.723186,F8,0.0667,1.107
HAT-P-3 b,413,Primary Transit,0.591,2.899703,K,0.03866,0.827
HAT-P-30 b,837,Primary Transit,0.711,2.810595,F,0.0419,1.34
HAT-P-31 b,857,Primary Transit,2.171,5.005425,,0.055,1.07
HAT-P-32 b,859,Primary Transit,0.75,2.15000825,F/G,0.03427,1.789
HAT-P-33 b,860,Primary Transit,0.763,3.474474,F,0.0503,1.827
HAT-P-43 b,1269,Primary Transit,0.66,3.332688,,0.0443,1.283
HAT-P-34 b,1044,Primary Transit,3.328,5.452654,,0.0677,1.107
HAT-P-35 b,1045,Primary Transit,1.054,3.646706,,0.0498,1.332
HAT-P-36 b,1046,Primary Transit,1.832,1.327347,,0.0238,1.264
HAT-P-37 b,1047,Primary Transit,1.169,2.797436,,0.0379,1.178
HAT-P-38 b,1056,Primary Transit,0.267,4.640382,G,0.0523,0.825
HAT-P-39 b,1143,Primary Transit,0.599,3.54387,,0.0509,1.571
HAT-P-4 b,419,Primary Transit,0.68,3.0565114,F,0.0446,1.27
HAT-P-40 b,1144,Primary Transit,0.615,4.457243,,0.0608,1.73
HAT-P-41 b,1145,Primary Transit,0.8,2.694047,,0.0426,1.685
HAT-P-42 b,1268,Primary Transit,0.975,4.641876,,0.0575,1.277
HAT-P-44 b,1328,Primary Transit,0.392,4.301217,,0.0507,1.28
HAT-P-44 c,1329,Primary Transit,1.6,219.9,,0.699,
HAT-P-45 b,1330,Primary Transit,0.892,3.128992,,0.0452,1.426
HAT-P-46 b,1331,Primary Transit,0.493,4.463129,,0.0577,1.284
HAT-P-46 c,1333,Primary Transit,2.0,77.7,,0.387,
HAT-P-47 b,3964,Primary Transit,0.206,4.732182,,0.0615,1.313
HAT-P-48 b,3965,Primary Transit,0.168,4.40865,,0.0543,1.131
HAT-P-49 b,1511,Primary Transit,1.73,2.691548,A5,0.0438,1.413
HAT-P-5 b,423,Primary Transit,1.06,2.788491,,0.04079,1.252
HAT-P-50 b,2380,Primary Transit,1.36,3.1220109,,0.0453,1.288
HAT-P-51 b,2381,Primary Transit,0.309,4.2180278,,0.05069,1.293
HAT-P-52 b,2382,Primary Transit,0.819,2.7535953,,0.03694,1.009
HAT-P-53 b,2383,Primary Transit,1.487,1.9616241,,0.03159,1.318
HAT-P-54 b,2264,Primary Transit,0.76,3.799847,K,0.04117,0.944
HAT-P-55 b,2431,Primary Transit,0.582,3.5852467,,0.04604,1.182
HAT-P-56 b,2409,Primary Transit,2.31,2.79083,F8,0.0423,1.51
HAT-P-57 b,2462,Primary Transit,1.85,2.465295,,0.0406,1.413
HAT-P-58 b,7436,Primary Transit,0.372,4.013837,,0.04994,1.332
HAT-P-59 b,7437,Primary Transit,1.54,4.1419771,,0.05064,1.123
HAT-P-6 b,424,Primary Transit,1.057,3.853003,F,0.05235,1.33
HAT-P-60 b,7438,Primary Transit,0.574,4.7947813,,0.06277,1.631
HAT-P-61 b,7439,Primary Transit,1.057,1.90231289,,0.0301,0.899
HAT-P-62 b,7440,Primary Transit,0.761,2.6453235,,0.03772,1.073
HAT-P-63 b,7441,Primary Transit,0.614,3.377728,,0.04294,1.119
HAT-P-64 b,7442,Primary Transit,0.58,4.007232,,0.05387,1.703
HAT-P-65 b,4056,Primary Transit,0.527,2.6054552,,0.03951,1.89
HAT-P-66 b,4057,Primary Transit,0.783,2.972086,,0.04363,1.59
HAT-P-67 b,6516,Primary Transit,0.34,4.81010205,F,0.06505,2.085
HAT-P-68 b,7533,Primary Transit,0.724,2.29840551,,0.02996,1.072
HAT-P-69 b,7121,Primary Transit,3.58,4.7869491,,0.06555,1.676
HAT-P-7 b,457,Primary Transit,1.741,2.204735471,,0.0379,1.431
HAT-P-70 b,7122,Primary Transit,6.78,2.74432452,,0.04739,1.87
HAT-P-8 b,529,Primary Transit,1.34,3.0763402,,0.0449,1.5
HAT-P-9 b,488,Primary Transit,0.67,3.922814,F,0.053,1.4
HATS-1 b,1134,Primary Transit,1.855,3.446459,,0.0444,1.302
HATS-10 b,2377,Primary Transit,0.526,3.312846,,0.0449,0.969
HATS-11 b,2595,Primary Transit,0.85,3.619188,G0,0.0507,1.609
HATS-12 b,2596,Primary Transit,2.38,3.142702,F,0.0441,0.692
HATS-13 b,2378,Primary Transit,0.543,3.0440499,,0.04057,1.212
HATS-14 b,2379,Primary Transit,1.071,2.7667641,,0.03815,1.039
HATS-15 b,2627,Primary Transit,2.17,1.74748753,,0.02712,1.105
HATS-16 b,2628,Primary Transit,3.27,2.686502,,0.03744,1.3
HATS-17 b,2597,Primary Transit,1.338,16.254611,G,0.1308,0.777
HATS-18 b,3954,Primary Transit,1.98,0.8378434,G,0.01761,1.337
HATS-19 b,3994,Primary Transit,0.427,4.569673,G0,0.0589,1.66
HATS-2 b,1270,Primary Transit,1.345,1.354133,K,0.023,1.168
HATS-20 b,3995,Primary Transit,0.273,3.7992969,G9V,0.04619,0.776
HATS-21 b,3996,Primary Transit,0.332,3.5543973,G4V,0.04676,1.123
HATS-22 b,3989,Primary Transit,2.74,4.7228124,,0.05025,0.953
HATS-23 b,3990,Primary Transit,1.47,2.1605156,,0.03397,1.86
HATS-24 b,3991,Primary Transit,2.44,1.3484954,,0.02547,1.487
HATS-25 b,4011,Primary Transit,0.613,4.2986432,G,0.05163,1.26
HATS-26 b,4012,Primary Transit,0.65,3.3023881,F,0.04735,1.75
HATS-27 b,4013,Primary Transit,0.53,4.637038,F,0.0611,1.5
HATS-28 b,4014,Primary Transit,0.672,3.1810781,G,0.04131,1.194
HATS-29 b,4015,Primary Transit,0.653,4.6058749,G,0.05475,1.251
HATS-3 b,1310,Primary Transit,1.071,3.547851,F,0.0485,1.381
HATS-30 b,4016,Primary Transit,0.706,3.1743516,,0.04354,1.175
HATS-31 b,3983,Primary Transit,0.88,3.37796,,0.0478,1.64
HATS-32 b,3984,Primary Transit,0.92,2.8126548,,0.04024,1.249
HATS-33 b,3985,Primary Transit,1.192,2.5495551,,0.03727,1.23
HATS-34 b,3987,Primary Transit,0.941,2.1061607,,0.03166,1.43
HATS-35 b,3988,Primary Transit,1.222,1.8209933,,0.03199,1.464
HATS-36 b,6570,Primary Transit,2.79,4.175186,G0 V,0.0523,1.153
HATS-37A b,7434,Primary Transit,0.099,4.3315366,,0.04913,0.606
HATS-38 b,7435,Primary Transit,0.074,4.375021,,0.05036,0.614
HATS-39 b,6736,Primary Transit,0.63,4.5776348,,0.06,1.57
HATS-4 b,1528,Primary Transit,1.323,2.516729,,0.0362,1.02
HATS-40 b,6737,Primary Transit,1.59,3.2642736,,0.04997,1.58
HATS-41 b,6738,Primary Transit,9.7,4.193649,,0.0583,1.33
HATS-42 b,6739,Primary Transit,1.88,2.292102,,0.03689,1.4
HATS-43 b,6593,Primary Transit,0.261,4.3888497,K,0.04944,1.18
HATS-44 b,6594,Primary Transit,0.56,2.7439004,K,0.03649,1.067
HATS-45 b,6595,Primary Transit,0.7,4.1876244,F,0.05511,1.286
HATS-46 b,6596,Primary Transit,0.173,4.7423729,G,0.05367,0.903
HATS-47 b,7295,Primary Transit,0.369,3.9228038,,0.04269,1.117
HATS-48A b,7296,Primary Transit,0.243,3.1316666,,0.03769,0.8
HATS-49 b,7297,Primary Transit,0.353,4.1480467,,0.04515,0.765
HATS-5 b,1503,Primary Transit,0.237,4.763387,,0.0542,0.912
HATS-50 b,6686,Primary Transit,0.39,3.8297015,,0.05046,1.13
HATS-51 b,6687,Primary Transit,0.768,3.3488702,,0.04639,1.41
HATS-52 b,6688,Primary Transit,2.24,1.3665436,,0.02498,1.382
HATS-53 b,6689,Primary Transit,0.595,3.8537768,,0.04753,1.34
HATS-54 b,6952,Primary Transit,0.76,2.5441828,,0.03763,1.067
HATS-56 b,6954,Primary Transit,0.602,4.324799,,0.06043,1.688
HATS-57 b,6955,Primary Transit,3.147,2.350621,,0.03493,1.13
HATS-58A b,6956,Primary Transit,1.03,4.2180896,,0.05798,1.095
HATS-59 b,6746,Primary Transit,0.806,5.416081,,0.06112,1.126
HATS-6 b,2298,Primary Transit,0.319,3.3252725,M1V,0.03623,0.998
HATS-60 b,6834,Primary Transit,0.662,3.560829,,0.04708,1.153
HATS-61 b,6835,Primary Transit,3.4,7.817953,,0.07908,1.195
HATS-62 b,6836,Primary Transit,0.179,3.2768837,,0.04163,1.055
HATS-63 b,6838,Primary Transit,0.96,3.0566527,,0.04026,1.207
HATS-64 b,6839,Primary Transit,0.96,4.908897,,0.06562,1.679
HATS-65 b,6840,Primary Transit,0.821,3.105161,,0.04497,1.501
HATS-66 b,6841,Primary Transit,5.33,3.1414391,,0.04714,1.411
HATS-67 b,6846,Primary Transit,1.45,1.6091788,,0.03032,1.685
HATS-68 b,6847,Primary Transit,1.29,3.5862202,,0.05071,1.2321
HATS-69 b,6848,Primary Transit,0.577,2.2252577,,0.03211,0.945
HATS-7 b,2626,Primary Transit,0.12,3.185315,K2,0.04012,0.563
HATS-70 b,6888,Primary Transit,12.9,1.8882378,,0.03632,1.384
HATS-71A b,6973,Primary Transit,0.45,3.7955213,M3,0.03946,1.08
HATS-72 b,7298,Primary Transit,0.1254,7.3279474,,0.066517,0.7224
HATS-74A b,8024,Primary Transit,1.46,1.73185606,,0.02384,1.032
HATS-75 b,8025,Primary Transit,0.491,2.7886556,,0.032742,0.884
HATS-76 b,8026,Primary Transit,2.629,1.9416423,,0.02658,1.079
HATS-77 b,8027,Primary Transit,1.374,3.0876262,,0.03607,1.165
HATS-8 b,2408,Primary Transit,0.138,3.583893,G2V,0.04667,0.873
HATS-9 b,2376,Primary Transit,0.839,1.915291,,0.0312,1.236
HD 102195 b,314,Radial Velocity,0.46,4.114,K0V,0.049,
HD 106315 b,6506,Primary Transit,0.03964,9.55237,F5 V,0.0907,0.218
HD 106315 c,6507,Primary Transit,0.04782,21.05704,F5 V,0.1536,0.388
HD 10697 b,95,Radial Velocity,6.837,1075.69,G5 IV,2.14,1.152
HD 110113 b,7559,Primary Transit,0.01432,2.541,,0.035,0.1829
HD 114783 b,104,Radial Velocity,6.3,493.7,K0,1.16,
HD 118203 b,302,Radial Velocity,2.173,6.13498,K0,0.07082,1.133
HD 128311 c,266,Radial Velocity,4.19,919.0,K0V,1.76,
HD 130322 b,21,Radial Velocity,1.05,10.72,K0 V,0.09,
HD 132406 b,411,Radial Velocity,6.7,974.0,G0V,1.98,
HD 136352 b,968,Radial Velocity,0.01454,11.57779,G4V,0.0969,0.13222
HD 136352 c,969,Radial Velocity,0.03552,27.5909,G4V,0.1729,0.183854
HD 136352 d,970,Radial Velocity,0.02775,107.63,G4V,0.4285,0.2284
HD 1397 b,6873,Primary Transit,0.415,11.53533,G5III,0.1097,1.026
HD 149026 b,290,Primary Transit,0.357,2.8758916,G0 IV,0.04288,0.718
HD 152843 b,7855,Primary Transit,0.03637,11.6264,G0,0.1053,0.3042
HD 152843 c,7856,Primary Transit,0.0865,27.13,G0,,0.5201
HD 154345 b,338,Radial Velocity,1.3,3538.0,G8V,4.3,
HD 164604 b,640,Radial Velocity,14.3,641.47,K3.5V,1.331,
HD 17156 b,387,Primary Transit,3.195,21.2163979,G0,0.1623,1.095
HD 175167 b,643,Radial Velocity,9.5,1290.0,G5 IV/V,2.4,
HD 176051 b,752,Astrometry,1.5,1016.0,,1.76,
HD 181720 b,580,Radial Velocity,12.12,956.0,G1V,1.78,
HD 183579 b,7913,Primary Transit,0.0302,17.471278,G5V,0.1334,0.3149
HD 189733 b,307,Primary Transit,1.138,2.219,K1-K2,0.031,1.138
HD 191939 b,7282,Primary Transit,0.0327,8.88029,G8V,0.078,0.3024
HD 191939 c,7283,Primary Transit,0.0227,28.5805,G8V,0.17,0.2748
HD 191939 d,7284,Primary Transit,0.0182,38.3525,G8V,0.207,0.2712
HD 202772 A b,6843,Primary Transit,1.008,3.30896,,0.0519,1.562
HD 207897 b,7992,Primary Transit,0.05,16.202157,K0V,0.1164,0.22348
HD 208487 c,306,Other,0.46,908.0,G2V,1.8,
HD 209458 b,10,Radial Velocity,0.69,3.52472,G0 V,0.04747,1.38
HD 213885 b,7054,Primary Transit,0.02778,1.008035,G,0.02012,0.15568
HD 219134 b,2415,Primary Transit,0.01343,3.093292,K3V,0.037,0.134
HD 219134 c,2416,Radial Velocity,0.01246,6.765159,K3V,0.062,0.12624
HD 219134 d,2417,Radial Velocity,0.05236,46.71,K3V,0.225,
HD 219134 f,2467,Other,0.0208,22.805,K3V,0.139,
HD 219666 b,6937,Primary Transit,0.0522,6.03607,,0.06356,0.4202
HD 221416 b,7308,Primary Transit,0.1904,14.2767,K0IV/V,0.1228,0.836
HD 23472 b,6931,Primary Transit,0.02618,17.667087,K3.5V,0.1162,0.16701
HD 23472 c,6932,Primary Transit,0.01073,29.79749,K3.5V,0.1646,0.1668
HD 23472 d,6977,Primary Transit,0.00173,3.97664,K3.5V,0.04298,0.0669
HD 23472 e,8367,Primary Transit,0.00227,7.90754,K3.5V,0.68,0.07298
HD 23472 f,6976,Primary Transit,0.00242,12.1621839,K3.5V,,0.10144
HD 260655 b,8173,Primary Transit,0.00673,2.76953,MOV,0.02933,0.1106
HD 260655 c,8174,Primary Transit,0.00972,5.70588,MOV,0.04749,0.13677
HD 2685 b,6889,Primary Transit,1.18,4.12692,,0.0568,1.44
HD 28109 b,8210,Primary Transit,0.058195,22.89104,F8,0.1357,0.19618
HD 3167 b,4004,Primary Transit,0.0158,0.959624,K0 V,0.0186,0.152
HD 3167 c,4005,Primary Transit,0.0308,29.83832,K0 V,0.1841,0.255
HD 332231 b,7355,Primary Transit,0.244,18.71204,F8,0.1436,0.867
HD 3651 b,38,Radial Velocity,0.23,62.25,K0 V,0.295,
HD 38529 b,23,Radial Velocity,0.93,14.3104,G4 IV,0.131,
HD 5278 b,7806,Primary Transit,0.0245,14.33902,,0.12,0.2186
HD 60532 b,504,Radial Velocity,9.21,201.83,F6IV-V,0.77,
HD 63935 b,7987,Primary Transit,0.034,9.058811,,,0.2668
HD 63935 c,7988,Primary Transit,0.0349,21.4023,,,0.259
HD 69830 b,326,Radial Velocity,0.1427,8.6682,K0V,0.0785,
HD 69830 c,327,Radial Velocity,0.1649,31.601,K0V,0.186,
HD 69830 d,328,Radial Velocity,0.2529,200.57,K0V,0.63,
HD 73583 b,7998,Primary Transit,0.0321,6.398042,K4V,0.0604,0.2489
HD 73583 c,7999,Primary Transit,0.0302,18.8805,K4V,0.1233,0.2436
HD 80606 b,43,Primary Transit,4.1641,111.436765,G5,0.4603,1.032
HD 80653 b,7254,Primary Transit,0.01762,0.719573,G2,0.0166,0.144
HD 81040 b,310,Radial Velocity,8.04,1001.7,G2/G3,1.94,
HD 82943 b,51,Radial Velocity,14.5,442.4,G0,1.19,
HD 82943 c,52,Radial Velocity,14.39,219.3,G0,0.746,
HD 85628 A b,7080,Primary Transit,3.1,2.82406,A3V,0.047,1.53
HD 89345 b,6719,Primary Transit,0.1123,11.81399,G5V,0.105,0.612
HD 89744 b,55,Radial Velocity,10.32,256.78,F7 V,0.917,
HD 95338 b,7353,Primary Transit,0.12406,55.086,K0.5V,0.231,0.3551
HD 97658 b,766,Primary Transit,0.02457,9.489295,K1V,0.08,0.20047
HIP 116454 b,2338,Primary Transit,0.0372,9.1265,K2,0.098,0.226
HIP 65A b,7319,Primary Transit,3.213,0.9809734,K4V,0.01782,2.03
HIP 67522 b,7401,Primary Transit,5.0,6.959503,,,0.8984
HIP 94235 b,8179,Primary Transit,1.192,7.712121,,0.0787,0.2862
HIP 97166 b,7985,Primary Transit,0.063,10.28891,,0.089,0.2444
HR 8799 b,516,Imaging,7.0,164250.0,A5V,68.0,1.2
HR 8799 c,517,Imaging,8.3,82145.0,A5V,42.9,1.3
HR 8799 d,518,Imaging,8.3,41054.0,A5V,27.0,1.2
HR 8799 e,768,Imaging,9.6,18000.0,A5V,16.4,1.17
K2-10 b,2555,Primary Transit,0.08495,19.3044,F9,,0.343
K2-105 b,6499,Primary Transit,0.094,8.267704,K1,0.0796,0.301
K2-106 b,4066,Primary Transit,0.0263,0.571331,G5 V,0.0134,0.162
K2-106 c,4067,Primary Transit,0.018,13.339079,G5 V,0.1091,0.244
K2-107 b,6510,Primary Transit,0.84,3.313959,F9 IV,0.0475,1.426
K2-108 b,6517,Primary Transit,0.187,4.733999,,0.0581,0.476
K2-110 b,6607,Primary Transit,0.0525,13.86387,K3 V,0.1027,0.228
K2-111 b,6584,Primary Transit,0.01664,5.3518,G2,0.057,0.162
K2-113 b,4071,Primary Transit,1.28,5.817685,G,0.0642,1.083
K2-114 b,6617,Primary Transit,1.85,11.391013,,0.0954,0.952
K2-124 b,7002,Primary Transit,0.033,6.413651,M3V,0.049,0.259
K2-137 b,6591,Primary Transit,0.5,0.179715,M3 V,0.0058,0.079
K2-132 b,6590,Primary Transit,0.49,9.1751,K,0.0916,1.3
K2-133 b,6620,Primary Transit,0.0069,3.07133,M1.5 V,0.03194,0.12
K2-133 c,6621,Primary Transit,0.01,4.86784,M1.5 V,0.04341,0.143
